order_id,id,product_id,city,order_date,delivery_time_minutes,is_cancelled
1,55,17,Nairobi,2025-08-17,75,1
2,197,8,Eldoret,2025-08-18,137,1
3,156,3,Nairobi,2025-08-21,90,0
4,169,24,Mombasa,2025-08-19,76,1
5,139,3,Eldoret,2025-08-18,213,0
6,4,23,Kisumu,2025-08-17,232,0
7,72,1,Eldoret,2025-08-20,63,1
8,50,17,Mombasa,2025-08-17,164,1
9,30,10,Mombasa,2025-08-17,40,1
10,66,19,Nakuru,2025-08-21,106,1
11,152,13,Mombasa,2025-08-17,191,1
12,112,7,Mombasa,2025-08-17,166,0
13,79,6,Mombasa,2025-08-20,75,0
14,93,21,Mombasa,2025-08-19,76,1
15,153,20,Nairobi,2025-08-21,34,0
16,21,9,Mombasa,2025-08-20,45,0
17,155,22,Kisumu,2025-08-20,51,1
18,93,18,Eldoret,2025-08-20,231,1
19,193,6,Nairobi,2025-08-19,207,1
20,148,17,Kisumu,2025-08-17,221,1
21,71,21,Eldoret,2025-08-21,148,1
22,124,3,Nairobi,2025-08-20,42,1
23,19,16,Nairobi,2025-08-20,186,1
24,48,6,Nakuru,2025-08-21,62,1
25,165,20,Kisumu,2025-08-19,206,0
26,130,23,Nairobi,2025-08-19,237,0
27,137,11,Eldoret,2025-08-20,31,0
28,29,7,Mombasa,2025-08-21,92,1
29,179,21,Nairobi,2025-08-20,164,0
30,56,18,Mombasa,2025-08-21,142,0
31,2,5,Kisumu,2025-08-21,158,0
32,63,12,Kisumu,2025-08-17,206,1
33,197,12,Mombasa,2025-08-20,57,1
34,149,24,Mombasa,2025-08-17,47,0
35,80,17,Kisumu,2025-08-20,172,0
36,180,7,Nairobi,2025-08-20,127,0
37,18,3,Kisumu,2025-08-19,153,0
38,115,10,Nakuru,2025-08-19,69,1
39,26,8,Kisumu,2025-08-19,217,0
40,35,7,Nairobi,2025-08-21,137,0
41,176,17,Nakuru,2025-08-20,69,1
42,99,2,Mombasa,2025-08-18,115,0
43,101,14,Mombasa,2025-08-17,78,1
44,171,6,Eldoret,2025-08-20,165,1
45,176,2,Eldoret,2025-08-19,41,0
46,123,19,Eldoret,2025-08-19,191,0
47,16,3,Nairobi,2025-08-20,150,0
48,48,12,Nairobi,2025-08-18,189,0
49,45,7,Nakuru,2025-08-21,203,0
50,22,8,Mombasa,2025-08-20,73,0
51,49,3,Eldoret,2025-08-18,75,1
52,121,9,Mombasa,2025-08-17,47,0
53,49,8,Mombasa,2025-08-19,119,0
54,143,4,Kisumu,2025-08-17,202,0
55,153,6,Nakuru,2025-08-21,196,0
56,150,22,Eldoret,2025-08-20,97,0
57,155,23,Kisumu,2025-08-17,76,0
58,103,6,Eldoret,2025-08-21,193,0
59,31,2,Eldoret,2025-08-20,115,0
60,38,19,Eldoret,2025-08-19,88,1
61,9,18,Nairobi,2025-08-18,216,0
62,191,12,Kisumu,2025-08-21,96,1
63,161,10,Nakuru,2025-08-18,217,0
64,17,4,Eldoret,2025-08-21,31,1
65,37,11,Kisumu,2025-08-18,57,1
66,196,4,Mombasa,2025-08-21,183,0
67,198,9,Kisumu,2025-08-17,71,1
68,22,11,Mombasa,2025-08-19,233,0
69,88,8,Mombasa,2025-08-20,188,0
70,42,15,Eldoret,2025-08-17,187,0
71,175,19,Mombasa,2025-08-19,114,0
72,48,7,Mombasa,2025-08-18,235,1
73,14,24,Mombasa,2025-08-18,185,1
74,30,18,Nakuru,2025-08-18,183,1
75,110,17,Mombasa,2025-08-21,159,0
76,13,8,Eldoret,2025-08-21,74,0
77,193,1,Kisumu,2025-08-17,132,1
78,48,10,Kisumu,2025-08-18,141,0
79,191,6,Nakuru,2025-08-20,163,0
80,119,5,Eldoret,2025-08-17,46,0
81,117,24,Mombasa,2025-08-21,206,0
82,15,6,Nakuru,2025-08-21,117,0
83,132,2,Eldoret,2025-08-19,117,1
84,105,18,Eldoret,2025-08-20,72,0
85,175,17,Kisumu,2025-08-20,214,1
86,167,6,Nakuru,2025-08-21,163,1
87,124,17,Mombasa,2025-08-18,98,0
88,67,14,Kisumu,2025-08-20,31,0
89,172,1,Mombasa,2025-08-19,232,0
90,119,11,Mombasa,2025-08-17,185,1
91,159,10,Kisumu,2025-08-17,178,1
92,164,10,Eldoret,2025-08-19,145,0
93,175,17,Mombasa,2025-08-19,151,0
94,167,18,Mombasa,2025-08-19,135,0
95,112,8,Kisumu,2025-08-17,113,0
96,141,1,Nairobi,2025-08-18,141,0
97,55,18,Kisumu,2025-08-21,72,1
98,173,17,Eldoret,2025-08-19,179,0
99,138,16,Kisumu,2025-08-20,115,0
100,16,2,Nakuru,2025-08-21,219,0
101,84,9,Nairobi,2025-08-18,62,1
102,192,4,Nairobi,2025-08-18,171,1
103,145,1,Kisumu,2025-08-19,91,0
104,84,14,Eldoret,2025-08-18,234,1
105,130,4,Eldoret,2025-08-21,219,1
106,110,18,Mombasa,2025-08-20,112,1
107,92,20,Nakuru,2025-08-18,190,0
108,47,17,Nairobi,2025-08-19,201,1
109,11,20,Nairobi,2025-08-17,101,0
110,178,20,Kisumu,2025-08-20,126,1
111,145,24,Eldoret,2025-08-18,193,1
112,97,17,Mombasa,2025-08-20,121,1
113,80,2,Nakuru,2025-08-17,75,0
114,189,11,Mombasa,2025-08-19,49,1
115,59,14,Kisumu,2025-08-20,132,0
116,186,16,Nakuru,2025-08-17,152,0
117,186,6,Mombasa,2025-08-20,187,1
118,124,1,Nakuru,2025-08-19,94,1
119,62,14,Nakuru,2025-08-21,200,0
120,42,21,Mombasa,2025-08-20,65,0
121,8,11,Eldoret,2025-08-21,32,0
122,38,23,Kisumu,2025-08-18,201,0
123,166,24,Mombasa,2025-08-20,52,0
124,143,20,Eldoret,2025-08-17,62,0
125,163,19,Eldoret,2025-08-21,224,1
126,166,3,Nairobi,2025-08-17,81,0
127,116,22,Eldoret,2025-08-18,209,1
128,148,3,Eldoret,2025-08-19,228,1
129,25,15,Kisumu,2025-08-19,74,1
130,110,22,Nakuru,2025-08-17,163,1
131,145,9,Eldoret,2025-08-20,82,1
132,52,9,Kisumu,2025-08-18,80,0
133,5,18,Nairobi,2025-08-20,136,0
134,91,12,Nairobi,2025-08-17,92,1
135,103,15,Eldoret,2025-08-21,124,1
136,17,10,Nairobi,2025-08-17,73,0
137,178,24,Mombasa,2025-08-18,76,1
138,99,14,Nairobi,2025-08-17,211,0
139,172,23,Kisumu,2025-08-21,74,0
140,61,3,Eldoret,2025-08-19,176,0
141,34,11,Nairobi,2025-08-21,169,0
142,166,2,Mombasa,2025-08-21,174,1
143,3,18,Nairobi,2025-08-20,223,0
144,151,12,Nakuru,2025-08-17,106,0
145,36,10,Eldoret,2025-08-17,213,1
146,159,15,Nakuru,2025-08-21,49,1
147,26,8,Eldoret,2025-08-18,59,0
148,184,1,Mombasa,2025-08-17,67,1
149,63,4,Eldoret,2025-08-18,154,0
150,26,3,Nakuru,2025-08-17,43,1
151,90,3,Eldoret,2025-08-19,65,0
152,177,15,Nakuru,2025-08-20,113,0
153,200,11,Kisumu,2025-08-20,83,1
154,24,1,Nakuru,2025-08-19,68,0
155,137,1,Nakuru,2025-08-17,108,1
156,128,4,Nairobi,2025-08-20,198,1
157,96,11,Nakuru,2025-08-21,173,0
158,118,14,Eldoret,2025-08-20,161,0
159,140,19,Nakuru,2025-08-20,116,0
160,169,18,Nakuru,2025-08-18,190,0
161,160,10,Nakuru,2025-08-20,193,1
162,199,17,Mombasa,2025-08-21,233,1
163,134,6,Nairobi,2025-08-18,188,0
164,56,2,Kisumu,2025-08-18,158,0
165,188,23,Eldoret,2025-08-20,145,1
166,182,20,Nairobi,2025-08-18,160,0
167,75,22,Nakuru,2025-08-18,102,1
168,8,16,Kisumu,2025-08-20,91,1
169,84,9,Kisumu,2025-08-17,126,1
170,155,4,Kisumu,2025-08-17,169,1
171,161,17,Nakuru,2025-08-19,157,1
172,111,21,Kisumu,2025-08-17,71,1
173,141,2,Kisumu,2025-08-21,92,0
174,27,22,Kisumu,2025-08-20,229,1
175,191,3,Kisumu,2025-08-19,54,1
176,166,23,Eldoret,2025-08-18,114,0
177,100,13,Nakuru,2025-08-17,159,1
178,120,14,Mombasa,2025-08-19,130,1
179,188,5,Nairobi,2025-08-20,121,0
180,67,19,Mombasa,2025-08-17,161,0
181,37,14,Kisumu,2025-08-17,109,0
182,100,17,Nakuru,2025-08-19,79,1
183,1,8,Eldoret,2025-08-20,233,0
184,85,5,Eldoret,2025-08-18,69,1
185,187,8,Mombasa,2025-08-19,51,1
186,162,24,Nairobi,2025-08-20,138,0
187,68,5,Nakuru,2025-08-19,108,1
188,99,2,Kisumu,2025-08-19,109,1
189,123,23,Nakuru,2025-08-18,232,0
190,18,12,Nakuru,2025-08-17,93,0
191,113,4,Kisumu,2025-08-18,84,0
192,125,16,Eldoret,2025-08-17,60,0
193,137,24,Eldoret,2025-08-19,193,1
194,23,9,Nairobi,2025-08-21,198,0
195,187,23,Nairobi,2025-08-17,207,0
196,61,18,Nairobi,2025-08-19,68,1
197,51,4,Nakuru,2025-08-19,35,0
198,62,3,Nairobi,2025-08-18,41,1
199,190,24,Nakuru,2025-08-21,85,0
200,17,7,Nairobi,2025-08-19,212,0
