product_id,Name,Price
1,Red Onions - (appx. 10 pieces) per Kg,KSh119
2,White Onions - (appx. 10 pieces) per Kg,KSh179
3,Round Tomatoes - (appx. 6 pieces) per Kg,KSh199
4,Tomato - Italian (appx. 8 pieces) per Kg,KSh79
5,White Potatoes - (appx. 5 pieces) per Kg,KSh99
6,Red Alika Potatoes - (appx. 5 pieces) per Kg,KSh199
7,Sweet Potato - Local  (appx. 2 pieces) per Kg,KSh179
8,Carrots (appx. 10 pieces) per Kg,KSh99
9,BabyMarrow/ Courgettes/ Zucchini  ( appx. 6 pieces) per Kg,KSh149
10,Sukuma Wiki (Collard Greens) per Bunch.,KSh29
11,Spinach Local (Swiss Chard) per Bunch.,KSh29
12,Broccoli (appx. 3 heads) per Kg.,KSh299
13,Cauliflower (appx. 1 piece) per Kg,KSh299
14,Dhania (Cilantro) per Bunch,KSh29
15,Basil per Bunch,KSh69
16,Parsley per Bunch,KSh29
17,Leeks - (appx. 3 pieces) per Kg,KSh199
18,Celery ( appx. 1 pc) per kg,KSh299
19,Cucumber - English (appx. 2 pieces) per Kg,KSh199
20,Cucumbers - Local (appx. 4 pieces) per Kg,KSh159
21,White Cabbage - (appx. 1.5 head) per Kg,KSh39
22,Chinese Cabbage - 1 Piece appx. 1.5kgs,KSh169
23,Red Cabbage - (appx. 1 head) per Kg,KSh159
24,Eggplant (appx. 2 pieces) per Kg,KSh149
