Name,Price
VP Food Fresh Blueberries (Punnet),KSh349
Red Seedless Grapes (Prepacked),KSh399
Strawberries 250g (Punnet),KSh349
Imported Indigo Tangerines (appx. 5 pieces) Per Kg,KSh499
Apples - Crisp Red (Appx.10 pieces) Per Kg,KSh449
Kiwi Fruit,KSh139
Gooseberries (punnet) 250g,KSh199
Green Seedless Grapes (packed),KSh489
Black Seedless Grapes (prepacked),KSh489
Zucchini Fruit Salad Cup,KSh390
Imported Plums - (appx. 10 pieces) per Kg,"KSh1,999"
Tomato - Italian (appx. 8 pieces) per Kg,KSh99
White Potatoes - (appx. 5 pieces) per Kg,KSh99
Red Onions - (appx. 10 pieces) per Kg,KSh119
Dhania (Cilantro) per Bunch,KSh29
Broccoli (appx. 3 heads) per Kg.,KSh299
Spinach Local (Swiss Chard) per Bunch.,KSh29
Sukuma Wiki (Collard Greens) per Bunch.,KSh29
White Onions - (appx. 10 pieces) per Kg,KSh179
Tenderstem Broccoli (Packed),KSh120
Thyme per Bunch,KSh20
Rosemary Sprigs Per Bunch,KSh35
Kahurura (Pumpkin Leaves) per Bunch,KSh29
