order_id,id,product_id,city,order_date,delivery_time_minutes,is_cancelled
1,23,12,Eldoret,17/08/2025 12:00,59,0
2,127,1,Eldoret,17/08/2025 12:00,132,0
3,166,2,Kisumu,19/08/2025 03:00,219,1
4,110,21,Kisumu,21/08/2025 09:00,224,1
5,120,19,Eldoret,19/08/2025 18:00,205,0
6,57,3,Mombasa,20/08/2025 03:00,97,0
7,44,10,Eldoret,19/08/2025 09:00,147,0
8,97,18,Mombasa,20/08/2025 18:00,107,0
9,91,12,Eldoret,21/08/2025 06:00,73,0
10,173,22,Eldoret,21/08/2025 06:00,152,1
11,100,4,Nairobi,17/08/2025 12:00,234,0
12,4,10,Nakuru,18/08/2025 15:00,77,1
13,123,11,Mombasa,21/08/2025 12:00,66,1
14,188,15,Mombasa,18/08/2025 03:00,198,1
15,184,24,Eldoret,21/08/2025 03:00,149,1
16,148,14,Mombasa,19/08/2025 06:00,127,0
17,148,18,Nakuru,21/08/2025 09:00,67,1
18,20,10,Eldoret,21/08/2025 00:00,239,1
19,137,19,Nairobi,18/08/2025 12:00,72,0
20,149,1,Mombasa,20/08/2025 21:00,124,0
21,26,15,Nakuru,17/08/2025 18:00,208,0
22,166,6,Eldoret,18/08/2025 12:00,158,0
23,146,9,Nairobi,17/08/2025 06:00,216,1
24,128,21,Kisumu,20/08/2025 09:00,183,1
25,167,15,Nakuru,20/08/2025 18:00,33,1
26,76,3,Kisumu,20/08/2025 09:00,31,0
27,145,6,Mombasa,18/08/2025 06:00,86,1
28,82,24,Mombasa,21/08/2025 03:00,195,0
29,159,4,Eldoret,21/08/2025 18:00,91,1
30,57,12,Nakuru,19/08/2025 21:00,162,1
31,107,2,Eldoret,17/08/2025 15:00,183,0
32,2,17,Nakuru,18/08/2025 03:00,51,1
33,166,23,Nakuru,18/08/2025 06:00,229,0
34,88,2,Kisumu,19/08/2025 12:00,207,0
35,159,10,Nakuru,18/08/2025 09:00,107,0
36,162,22,Eldoret,20/08/2025 12:00,200,0
37,145,2,Eldoret,21/08/2025 21:00,150,1
38,167,12,Eldoret,21/08/2025 15:00,151,1
39,8,17,Mombasa,19/08/2025 12:00,87,0
40,190,20,Eldoret,21/08/2025 00:00,201,0
41,173,19,Nakuru,19/08/2025 00:00,115,1
42,35,8,Nakuru,18/08/2025 06:00,108,0
43,95,15,Eldoret,21/08/2025 09:00,208,0
44,103,17,Eldoret,17/08/2025 15:00,42,1
45,92,5,Nairobi,21/08/2025 18:00,188,1
46,149,1,Mombasa,21/08/2025 09:00,78,0
47,147,19,Mombasa,21/08/2025 03:00,238,0
48,179,3,Nairobi,17/08/2025 15:00,62,1
49,107,17,Nairobi,20/08/2025 12:00,230,1
50,26,23,Kisumu,20/08/2025 06:00,210,1
51,79,14,Nairobi,17/08/2025 06:00,56,1
52,97,8,Kisumu,21/08/2025 00:00,217,0
53,36,23,Eldoret,19/08/2025 03:00,45,1
54,110,11,Kisumu,19/08/2025 21:00,115,1
55,34,7,Eldoret,18/08/2025 06:00,99,1
56,162,23,Nairobi,17/08/2025 09:00,177,1
57,138,8,Nairobi,19/08/2025 21:00,66,0
58,106,8,Nakuru,19/08/2025 09:00,103,1
59,62,19,Nairobi,21/08/2025 03:00,196,1
60,86,6,Nakuru,19/08/2025 09:00,37,0
61,72,11,Nairobi,18/08/2025 03:00,187,1
62,88,6,Eldoret,18/08/2025 12:00,88,0
63,124,17,Mombasa,21/08/2025 18:00,126,1
64,39,15,Nairobi,17/08/2025 21:00,71,1
65,53,22,Nakuru,19/08/2025 03:00,133,0
66,145,21,Mombasa,21/08/2025 06:00,90,1
67,101,4,Nairobi,17/08/2025 12:00,162,1
68,152,19,Eldoret,19/08/2025 06:00,122,0
69,95,10,Nakuru,19/08/2025 15:00,102,1
70,74,16,Kisumu,18/08/2025 06:00,236,0
71,47,5,Eldoret,20/08/2025 18:00,51,1
72,195,15,Kisumu,21/08/2025 18:00,120,1
73,135,21,Nairobi,19/08/2025 21:00,123,0
74,76,16,Mombasa,20/08/2025 09:00,97,0
75,169,8,Eldoret,18/08/2025 09:00,220,0
76,68,6,Mombasa,18/08/2025 09:00,238,1
77,84,10,Kisumu,18/08/2025 09:00,164,0
78,7,16,Kisumu,20/08/2025 15:00,133,1
79,117,14,Nairobi,17/08/2025 06:00,169,1
80,122,17,Nairobi,20/08/2025 03:00,96,1
81,156,17,Kisumu,19/08/2025 18:00,201,1
82,165,8,Nairobi,21/08/2025 21:00,113,1
83,121,13,Eldoret,18/08/2025 18:00,239,1
84,6,11,Nairobi,19/08/2025 06:00,205,1
85,96,6,Nakuru,21/08/2025 06:00,175,0
86,59,9,Nairobi,19/08/2025 15:00,145,0
87,113,4,Nairobi,17/08/2025 18:00,62,0
88,155,5,Kisumu,20/08/2025 00:00,197,1
89,94,22,Kisumu,18/08/2025 03:00,109,0
90,11,4,Kisumu,20/08/2025 18:00,72,0
91,79,11,Kisumu,17/08/2025 21:00,53,0
92,153,21,Nakuru,20/08/2025 09:00,225,0
93,25,8,Nakuru,18/08/2025 06:00,193,0
94,22,17,Eldoret,18/08/2025 00:00,197,1
95,103,8,Nakuru,20/08/2025 06:00,57,0
96,191,5,Mombasa,17/08/2025 21:00,31,1
97,53,7,Nairobi,19/08/2025 03:00,109,0
98,31,2,Mombasa,20/08/2025 00:00,48,1
99,133,17,Mombasa,19/08/2025 03:00,72,1
100,88,7,Nakuru,21/08/2025 06:00,223,0
101,139,18,Nakuru,19/08/2025 06:00,202,0
102,200,10,Eldoret,19/08/2025 00:00,133,0
103,162,11,Mombasa,20/08/2025 21:00,39,0
104,116,8,Eldoret,17/08/2025 03:00,62,0
105,117,18,Eldoret,19/08/2025 00:00,131,1
106,152,11,Eldoret,19/08/2025 09:00,53,1
107,58,2,Nakuru,17/08/2025 03:00,202,0
108,109,1,Kisumu,18/08/2025 06:00,163,0
109,109,13,Mombasa,21/08/2025 18:00,218,1
110,44,13,Kisumu,19/08/2025 15:00,160,1
111,47,13,Kisumu,20/08/2025 21:00,231,0
112,66,10,Nakuru,18/08/2025 00:00,205,1
113,116,11,Kisumu,21/08/2025 21:00,91,1
114,45,18,Kisumu,20/08/2025 00:00,53,1
115,39,24,Mombasa,17/08/2025 18:00,149,0
116,116,20,Nakuru,17/08/2025 18:00,192,0
117,179,22,Kisumu,19/08/2025 12:00,134,1
118,2,19,Nairobi,17/08/2025 12:00,104,0
119,66,19,Nakuru,20/08/2025 09:00,178,0
120,1,6,Nakuru,20/08/2025 18:00,232,1
121,39,1,Mombasa,18/08/2025 15:00,66,1
122,40,7,Nairobi,20/08/2025 18:00,232,0
123,77,1,Mombasa,17/08/2025 21:00,46,0
124,196,17,Eldoret,19/08/2025 00:00,237,0
125,45,1,Eldoret,20/08/2025 03:00,236,1
126,116,3,Eldoret,20/08/2025 00:00,141,1
127,165,19,Eldoret,19/08/2025 06:00,119,1
128,20,15,Nakuru,17/08/2025 00:00,147,0
129,42,1,Nairobi,17/08/2025 06:00,187,1
130,48,9,Eldoret,21/08/2025 09:00,211,1
131,130,10,Eldoret,20/08/2025 03:00,76,0
132,67,6,Mombasa,21/08/2025 21:00,213,1
133,79,3,Mombasa,17/08/2025 12:00,38,0
134,197,10,Kisumu,19/08/2025 09:00,198,1
135,167,15,Eldoret,20/08/2025 21:00,191,1
136,160,3,Eldoret,17/08/2025 18:00,172,1
137,172,4,Nairobi,21/08/2025 18:00,51,1
138,187,3,Eldoret,18/08/2025 21:00,81,0
139,159,22,Eldoret,18/08/2025 00:00,73,0
140,92,12,Eldoret,21/08/2025 18:00,199,1
141,82,3,Mombasa,20/08/2025 18:00,138,0
142,155,9,Mombasa,20/08/2025 15:00,157,0
143,176,22,Kisumu,18/08/2025 18:00,72,0
144,86,9,Eldoret,20/08/2025 00:00,118,1
145,177,11,Kisumu,17/08/2025 09:00,56,0
146,174,1,Mombasa,18/08/2025 00:00,222,1
147,30,3,Nakuru,21/08/2025 06:00,232,1
148,65,9,Nairobi,17/08/2025 12:00,119,0
149,137,19,Mombasa,17/08/2025 03:00,222,1
150,159,4,Kisumu,21/08/2025 00:00,148,0
151,46,17,Nairobi,19/08/2025 06:00,137,1
152,110,22,Kisumu,17/08/2025 06:00,194,0
153,125,11,Kisumu,21/08/2025 21:00,137,1
154,69,4,Eldoret,20/08/2025 00:00,84,0
155,53,19,Mombasa,21/08/2025 15:00,219,0
156,197,24,Mombasa,19/08/2025 18:00,31,1
157,199,17,Kisumu,19/08/2025 21:00,227,0
158,46,4,Nakuru,21/08/2025 15:00,69,1
159,40,23,Nakuru,21/08/2025 09:00,64,1
160,66,3,Kisumu,18/08/2025 06:00,81,1
161,120,14,Kisumu,21/08/2025 15:00,136,1
162,128,23,Nairobi,17/08/2025 09:00,109,0
163,135,6,Nairobi,19/08/2025 18:00,192,0
164,125,3,Mombasa,17/08/2025 18:00,178,0
165,114,14,Nakuru,21/08/2025 21:00,173,1
166,53,5,Eldoret,19/08/2025 18:00,107,0
167,47,12,Mombasa,21/08/2025 06:00,96,1
168,168,11,Nairobi,21/08/2025 06:00,153,1
169,151,10,Nakuru,17/08/2025 03:00,210,0
170,71,23,Kisumu,21/08/2025 00:00,177,0
171,33,1,Nairobi,19/08/2025 09:00,32,0
172,184,13,Eldoret,21/08/2025 03:00,84,0
173,30,24,Eldoret,21/08/2025 09:00,56,0
174,189,24,Nakuru,20/08/2025 21:00,185,0
175,113,17,Nakuru,17/08/2025 12:00,225,0
176,133,3,Eldoret,17/08/2025 09:00,225,1
177,43,10,Kisumu,19/08/2025 00:00,186,1
178,132,12,Nairobi,18/08/2025 12:00,52,0
179,194,23,Mombasa,19/08/2025 18:00,130,1
180,95,22,Nairobi,21/08/2025 09:00,78,0
181,58,17,Eldoret,21/08/2025 12:00,99,0
182,71,20,Kisumu,21/08/2025 15:00,80,1
183,82,16,Eldoret,20/08/2025 12:00,165,0
184,23,13,Nakuru,17/08/2025 09:00,143,0
185,142,9,Nakuru,17/08/2025 18:00,154,1
186,198,21,Eldoret,18/08/2025 00:00,47,0
187,2,1,Mombasa,20/08/2025 09:00,123,1
188,105,2,Mombasa,20/08/2025 06:00,167,0
189,63,2,Eldoret,20/08/2025 03:00,118,1
190,173,5,Mombasa,19/08/2025 15:00,107,0
191,126,3,Mombasa,20/08/2025 06:00,147,0
192,33,16,Mombasa,19/08/2025 00:00,229,0
193,45,18,Nairobi,19/08/2025 03:00,114,1
