order_id,id,product_id,city,order_date,delivery_time_minutes,is_cancelled
1,124,10,Eldoret,2025-10-04,118,0
2,65,2,Nairobi,2025-10-26,140,0
3,195,24,Nairobi,2025-09-28,226,0
4,65,20,Kisumu,2025-10-11,112,0
5,60,11,Nakuru,2025-10-31,231,1
6,117,2,Mombasa,2025-11-03,159,1
7,105,10,Nairobi,2025-10-09,86,1
8,71,1,Kisumu,2025-11-20,108,1
9,149,7,Kisumu,2025-10-27,54,0
10,35,24,Nakuru,2025-11-25,183,0
11,180,18,Nakuru,2025-10-13,149,1
12,78,4,Nakuru,2025-09-07,211,1
13,120,3,Mombasa,2025-09-01,235,0
14,33,7,Nakuru,2025-10-21,74,0
15,152,20,Nairobi,2025-11-22,50,0
16,99,10,Kisumu,2025-11-04,71,1
17,110,2,Kisumu,2025-09-15,47,1
18,70,18,Mombasa,2025-11-14,104,0
19,187,9,Nairobi,2025-08-26,107,0
20,105,8,Mombasa,2025-08-21,51,1
21,182,10,Nairobi,2025-10-31,198,0
22,107,4,Nakuru,2025-09-20,212,1
23,137,9,Kisumu,2025-11-25,219,0
24,191,11,Mombasa,2025-11-12,115,0
25,179,24,Kisumu,2025-11-15,58,1
26,195,11,Eldoret,2025-10-16,74,1
27,96,24,Nairobi,2025-11-07,118,0
28,180,8,Kisumu,2025-09-03,124,1
29,177,16,Mombasa,2025-11-08,152,1
30,184,9,Nakuru,2025-10-03,118,1
31,99,5,Nakuru,2025-08-31,199,0
32,102,6,Mombasa,2025-10-20,113,0
33,18,17,Kisumu,2025-11-25,205,0
34,69,22,Nakuru,2025-09-19,48,0
35,195,18,Mombasa,2025-11-09,40,1
36,170,3,Kisumu,2025-10-14,236,1
37,32,13,Nairobi,2025-10-26,61,1
38,25,2,Nakuru,2025-11-19,42,1
39,129,2,Nakuru,2025-10-07,58,0
40,119,16,Nakuru,2025-11-08,146,1
41,87,18,Kisumu,2025-10-22,167,0
42,182,12,Nairobi,2025-10-01,43,0
43,17,23,Nakuru,2025-09-20,208,0
