order_id,user_id,product_id,city,order_date,delivery_time_minutes,is_cancelled
1,192,1,Kisumu,2025-03-13,72,0
2,36,4,Mombasa,2025-03-25,114,1
3,38,5,Eldoret,2025-03-02,90,0
4,26,9,Mombasa,2025-01-08,115,0
5,43,14,Nairobi,2025-03-14,194,0
6,29,11,Eldoret,2025-02-21,181,0
7,86,11,Nakuru,2025-02-08,43,0
8,139,3,Nakuru,2025-03-13,165,0
9,188,4,Eldoret,2025-03-09,237,0
10,156,2,Nakuru,2025-02-12,132,1
11,170,9,Mombasa,2025-01-10,108,1
12,19,6,Eldoret,2025-03-31,231,0
13,154,7,Kisumu,2025-02-26,162,0
14,188,8,Kisumu,2025-01-08,62,1
15,85,14,Nairobi,2025-03-28,153,1
16,104,13,Eldoret,2025-03-01,89,1
17,127,12,Nakuru,2025-01-08,116,1
18,191,6,Nakuru,2025-03-01,216,1
19,57,3,Nakuru,2025-03-17,95,1
20,98,2,Nairobi,2025-02-12,36,1
21,166,4,Mombasa,2025-01-15,138,0
22,199,5,Eldoret,2025-03-16,229,0
23,30,14,Mombasa,2025-03-06,198,1
24,138,5,Kisumu,2025-04-07,63,1
25,55,14,Kisumu,2025-03-10,171,0
26,153,9,Eldoret,2025-03-25,185,0
27,35,10,Eldoret,2025-02-13,192,0
28,69,7,Kisumu,2025-02-24,58,0
29,107,1,Mombasa,2025-03-17,233,0
30,139,12,Nairobi,2025-01-25,134,0
31,99,5,Mombasa,2025-01-14,195,1
32,70,13,Mombasa,2025-02-22,213,0
33,123,11,Nakuru,2025-03-23,228,0
34,185,10,Nakuru,2025-04-02,144,1
35,146,2,Nairobi,2025-02-05,228,0
36,43,5,Mombasa,2025-04-10,173,0
37,60,12,Eldoret,2025-03-31,59,0
38,35,5,Eldoret,2025-01-29,199,1
39,116,13,Eldoret,2025-01-12,199,1
40,160,5,Nakuru,2025-03-18,71,0
41,154,11,Kisumu,2025-04-11,76,1
42,5,9,Nakuru,2025-02-11,235,1
43,158,1,Eldoret,2025-04-04,93,0
44,103,4,Nairobi,2025-02-21,130,0
45,25,5,Mombasa,2025-03-02,98,0
46,113,3,Nakuru,2025-04-03,74,0
47,76,10,Eldoret,2025-03-24,148,0
48,169,13,Kisumu,2025-02-07,230,0
49,45,1,Nakuru,2025-02-05,197,1
50,159,8,Eldoret,2025-03-22,136,0
51,17,12,Mombasa,2025-01-18,44,0
52,73,4,Nakuru,2025-03-01,168,0
53,106,12,Eldoret,2025-03-16,225,0
54,104,13,Kisumu,2025-01-31,212,1
55,108,8,Kisumu,2025-04-01,32,0
56,91,10,Nakuru,2025-04-11,128,0
57,151,2,Eldoret,2025-03-29,201,1
58,131,13,Nairobi,2025-04-04,71,0
59,112,13,Nairobi,2025-04-04,89,0
60,132,12,Mombasa,2025-02-20,94,0
61,21,10,Nakuru,2025-02-05,166,1
62,45,9,Nairobi,2025-02-23,55,0
63,175,14,Nairobi,2025-04-03,223,1
64,20,7,Nakuru,2025-03-11,198,1
65,48,5,Mombasa,2025-03-19,207,1
66,29,13,Nakuru,2025-01-26,195,1
67,140,14,Eldoret,2025-01-14,40,0
68,105,7,Kisumu,2025-01-20,152,0
69,179,10,Kisumu,2025-03-22,58,1
70,128,2,Eldoret,2025-02-04,32,1
71,18,7,Nakuru,2025-03-01,110,1
72,2,12,Nairobi,2025-03-19,112,0
73,18,12,Kisumu,2025-04-06,235,1
74,106,14,Eldoret,2025-01-10,229,0
75,1,4,Nairobi,2025-02-19,205,0
76,189,14,Eldoret,2025-03-03,195,0
77,176,9,Nakuru,2025-02-04,87,1
78,153,7,Kisumu,2025-04-04,228,0
79,39,7,Nairobi,2025-03-18,104,1
80,52,10,Nakuru,2025-02-23,81,1
81,135,12,Kisumu,2025-03-27,96,1
82,32,4,Kisumu,2025-02-15,46,0
83,159,11,Nakuru,2025-02-19,167,0
84,7,6,Eldoret,2025-01-12,162,0
85,130,13,Eldoret,2025-01-08,104,1
86,77,4,Kisumu,2025-02-14,223,0
87,78,1,Kisumu,2025-01-16,222,0
88,51,13,Eldoret,2025-02-04,222,0
89,174,13,Nairobi,2025-03-27,31,1
90,189,2,Nakuru,2025-03-21,53,0
91,106,12,Nakuru,2025-03-21,110,0
92,177,10,Mombasa,2025-02-01,119,0
93,192,2,Nakuru,2025-03-21,222,1
94,188,5,Eldoret,2025-03-12,78,0
95,62,4,Kisumu,2025-02-01,220,1
96,42,2,Nairobi,2025-01-15,42,1
97,131,13,Nakuru,2025-04-02,89,1
98,5,4,Eldoret,2025-03-09,140,1
99,138,5,Nairobi,2025-03-13,49,0
100,150,2,Mombasa,2025-03-18,45,0
101,40,11,Nairobi,2025-04-09,236,1
102,32,13,Eldoret,2025-01-22,94,0
103,85,4,Kisumu,2025-02-04,147,0
104,129,5,Eldoret,2025-02-14,227,0
105,2,1,Mombasa,2025-03-26,97,1
106,139,14,Eldoret,2025-03-17,161,0
107,23,4,Eldoret,2025-04-05,116,0
108,90,8,Mombasa,2025-02-28,61,1
109,168,4,Mombasa,2025-01-04,213,0
110,29,12,Kisumu,2025-03-01,59,1
111,168,9,Nakuru,2025-02-20,41,1
112,24,8,Mombasa,2025-04-02,75,1
113,149,1,Mombasa,2025-02-25,235,0
114,104,7,Mombasa,2025-03-29,213,0
115,26,2,Nakuru,2025-01-16,48,0
116,193,2,Nairobi,2025-01-27,188,0
117,195,8,Kisumu,2025-01-05,151,1
118,151,10,Kisumu,2025-01-08,33,0
119,6,12,Kisumu,2025-03-30,124,1
120,16,5,Nakuru,2025-01-25,211,0
121,133,1,Nairobi,2025-01-11,193,0
122,32,2,Mombasa,2025-03-27,48,0
123,164,5,Kisumu,2025-03-25,152,1
124,34,6,Kisumu,2025-03-12,120,0
125,160,12,Kisumu,2025-03-25,98,1
126,27,7,Nakuru,2025-02-13,217,0
127,177,10,Mombasa,2025-04-07,63,1
128,154,6,Nakuru,2025-01-14,60,1
129,182,10,Nairobi,2025-01-25,222,1
130,36,3,Nakuru,2025-01-02,82,1
131,5,5,Kisumu,2025-02-05,165,1
132,119,11,Kisumu,2025-02-14,138,0
133,56,8,Eldoret,2025-01-04,104,0
134,150,11,Nakuru,2025-01-08,85,1
135,100,11,Nairobi,2025-03-04,77,1
136,79,8,Nairobi,2025-02-01,149,0
137,179,4,Eldoret,2025-01-24,180,1
138,90,6,Kisumu,2025-02-14,186,0
139,108,12,Nakuru,2025-01-05,49,0
140,182,10,Mombasa,2025-04-10,92,1
141,57,5,Kisumu,2025-02-12,80,0
142,111,7,Nakuru,2025-02-15,156,0
143,165,3,Nakuru,2025-01-10,54,0
144,189,6,Nakuru,2025-04-05,47,1
145,182,13,Mombasa,2025-03-18,199,0
146,50,1,Mombasa,2025-03-23,65,1
147,46,1,Kisumu,2025-02-18,127,0
148,134,12,Mombasa,2025-03-28,132,0
149,49,12,Nakuru,2025-02-16,104,0
150,129,6,Nakuru,2025-01-14,130,1
151,74,7,Nairobi,2025-03-11,219,0
152,6,7,Nakuru,2025-02-24,149,0
153,92,3,Kisumu,2025-02-19,38,0
154,197,9,Eldoret,2025-02-26,103,1
155,148,2,Eldoret,2025-01-06,96,1
156,131,9,Eldoret,2025-01-28,118,1
157,140,12,Kisumu,2025-01-08,139,1
158,198,7,Kisumu,2025-03-03,197,1
159,174,6,Kisumu,2025-03-11,206,0
160,129,2,Eldoret,2025-02-17,190,1
161,181,9,Mombasa,2025-02-19,138,1
162,173,10,Nakuru,2025-03-01,226,0
163,156,7,Eldoret,2025-01-21,50,1
164,100,13,Eldoret,2025-02-28,80,1
165,87,6,Nairobi,2025-02-09,121,0
166,86,3,Kisumu,2025-01-31,219,1
167,4,12,Nakuru,2025-03-31,227,0
168,119,12,Mombasa,2025-01-15,221,1
169,74,7,Kisumu,2025-03-29,93,1
170,29,1,Nairobi,2025-01-10,116,0
171,52,1,Mombasa,2025-01-12,187,0
172,42,2,Kisumu,2025-03-23,208,1
173,13,12,Eldoret,2025-01-23,149,0
174,119,8,Nakuru,2025-01-04,43,0
175,61,1,Nakuru,2025-04-09,62,1
176,112,9,Eldoret,2025-03-27,76,1
177,32,4,Kisumu,2025-03-06,68,0
178,121,13,Nakuru,2025-03-23,129,0
179,4,12,Kisumu,2025-01-25,193,1
180,80,8,Nakuru,2025-01-22,132,0
181,75,13,Mombasa,2025-01-24,185,1
182,187,3,Eldoret,2025-03-19,44,0
183,16,3,Kisumu,2025-01-28,153,0
184,32,10,Eldoret,2025-03-19,211,1
185,60,14,Eldoret,2025-04-01,239,0
186,109,5,Nairobi,2025-04-08,39,0
187,83,6,Mombasa,2025-03-23,37,1
188,72,4,Nakuru,2025-04-07,228,1
189,27,4,Mombasa,2025-04-11,64,0
190,139,8,Nakuru,2025-02-05,195,0
191,118,10,Eldoret,2025-03-25,180,1
192,131,13,Mombasa,2025-03-23,226,0
193,182,6,Kisumu,2025-03-04,128,1
194,147,8,Eldoret,2025-02-03,32,1
195,66,5,Nakuru,2025-02-04,205,0
196,38,5,Nairobi,2025-02-06,179,0
197,87,3,Nairobi,2025-03-10,91,0
198,85,11,Nakuru,2025-03-22,136,1
199,23,4,Eldoret,2025-01-06,141,1
200,178,3,Eldoret,2025-02-17,176,1
