Channel Name,Channel Id,Description,Subscribers,Total Videos,Total Views,Search Query
Kenyans.co.ke,UCHphq9udrisoGYguDx-cKoQ,"We bring you breaking news in Kenyan, social, economic and political analysis. We also share with you the latest trending stories ...",34300,2691,3419803,Kenya KE
The Crime Gist Ke,UCxtbyvozdU-zNAa0DY5SRWw,"For gripping true-crime stories from the heart of Kenya. We cover criminal mysteries, homicides and murders that have left a mark ...",12300,16,1013684,Kenya KE
Financial Freedom KE,UC5pofqxfPwA4ikMxO4wtJBg,"The mission of Financial Freedom Kenya is to provide relevant content on financial planning, cash flow management, wealth ...",18500,114,485232,Kenya KE
KTN News Kenya,UCKVsdeoHExltrWMuK0hOWmg,,2880000,150947,819096966,Kenya KE
ONLINE COMMUNITY KE,UCO8YpKqvrN1vZockdg7yAew,"ONLINE COMMUNITY KE is an Informative, Credible and Authoritative News Channel. We bring you political commentaries, Live ...",276000,2448,6554300,Kenya KE
Official Sleemyboy KE🇰🇪,UCzunRCzsds_X6XJaIO2OJYA,"WhatsApp No.+254701607956 'Hello,welcome to my YouTube channel.' 'I do Vlogs & Performing Live Recorded Music.' Support ...",2130,266,103933,Kenya KE
State House Kenya,UCuNsouEfEq9Sh6tapfg4uRA,Official State House Youtube Channel.,72800,4332,10672882,Kenya KE
Engage Talk,UCD-Mf4F5ZQ1Jw-nb2gqD1mw,"At Engage, fascinating thinkers and doers combine to spark discussion and connection with the audience on a diverse mix of ...",189000,824,25438560,Kenya KE
SpiceFM,UC0kFUQNwtbKJlfzTfj4x4YQ,"The Home of Sugar, Spice and Everything Nice! Nairobi 94.4 • Mombasa 87.9 • Nakuru 96.0 • Eldoret 96.7 • Nyeri 90.9 • Kisumu ...",171000,5254,42135610,Kenya KE
Kenya KE,UC-KGOq6rxpVrBHf5sWbipLA,,1,1,42,Kenya KE
Buslife ke.,UCE5EURuFYjSGg8Q4ZbwS6zA,Where Buses meet nature Instagram: @Buslife ke X: @Its_Ombogo Facebook:Buslife Ke Tiktok: Buslife Contact: +254704783716 ...,8630,211,1511028,KE
ManTalk Ke,UCmBQsChFjOTcqv7D6sT8dPw,,42700,263,2454766,KE
Serah KE,UCAcgtXABddtNc2GySosdT4A,for business inquires: serahkemusic@gmail.com.,42400,106,6155962,KE
THE VYNIL SPACE KE,UCIvSvvp_-NMYrUiywGqOuvA,"We unleash a vibrant tapestry of interviews, laughter, and captivating anecdotes with the most sought-after entertainment ...",547,10,16866,KE
Ke Personajes,UCkUnbNviJtOMu-9Jgfr1P_w,KE PERSONAJES BANDA DE CUMBIA ARGENTINA LA MEJOR CUMBIA - CUMBIA DE HOY - CUMBIA ARGENTINA ...,2400000,73,2694090921,KE
SKY Girls KE,UCZF83-HDYyqiCuwoJCrnVUA,"SKYTok is the hottest Teen girl show exclusively on our TikTok page! From spilling the SKY tea ☕, to vibing with your fave celebs ...",60700,235,13959959,KE
Limz Ke,UCFMoM13hOl7WHt8g1gwc9LA,"Am Salim Ali , known as an Artist by the name Limz Ke. I do Afro Music blended with Bongo Flavour . Interested in Drill Hip Hop ...",141,1,531,KE
Kenyans.co.ke,UCHphq9udrisoGYguDx-cKoQ,"We bring you breaking news in Kenyan, social, economic and political analysis. We also share with you the latest trending stories ...",34300,2691,3419803,KE
STEVE CROWN Ke,UCy0SQXDw0qvsSjwu6TBiNLA,,13600,13,585042,KE
Mordecai Ke,UCVgbL--vKQ0iNxeyny3RbNg,"Gospel Musician, Song writer, Poet and play writer. Feel free to Hit the SUBSCRIBE button & watch us grow together ...",1670,23,25532,KE
Buslife ke.,UCE5EURuFYjSGg8Q4ZbwS6zA,Where Buses meet nature Instagram: @Buslife ke X: @Its_Ombogo Facebook:Buslife Ke Tiktok: Buslife Contact: +254704783716 ...,8630,211,1511028,Ke
ManTalk Ke,UCmBQsChFjOTcqv7D6sT8dPw,,42700,263,2454766,Ke
Serah KE,UCAcgtXABddtNc2GySosdT4A,for business inquires: serahkemusic@gmail.com.,42400,106,6155962,Ke
THE VYNIL SPACE KE,UCIvSvvp_-NMYrUiywGqOuvA,"We unleash a vibrant tapestry of interviews, laughter, and captivating anecdotes with the most sought-after entertainment ...",547,10,16866,Ke
Ke Personajes,UCkUnbNviJtOMu-9Jgfr1P_w,KE PERSONAJES BANDA DE CUMBIA ARGENTINA LA MEJOR CUMBIA - CUMBIA DE HOY - CUMBIA ARGENTINA ...,2400000,73,2694090921,Ke
SKY Girls KE,UCZF83-HDYyqiCuwoJCrnVUA,"SKYTok is the hottest Teen girl show exclusively on our TikTok page! From spilling the SKY tea ☕, to vibing with your fave celebs ...",60700,235,13959959,Ke
Limz Ke,UCFMoM13hOl7WHt8g1gwc9LA,"Am Salim Ali , known as an Artist by the name Limz Ke. I do Afro Music blended with Bongo Flavour . Interested in Drill Hip Hop ...",141,1,531,Ke
Kenyans.co.ke,UCHphq9udrisoGYguDx-cKoQ,"We bring you breaking news in Kenyan, social, economic and political analysis. We also share with you the latest trending stories ...",34300,2691,3419803,Ke
STEVE CROWN Ke,UCy0SQXDw0qvsSjwu6TBiNLA,,13600,13,585042,Ke
Mordecai Ke,UCVgbL--vKQ0iNxeyny3RbNg,"Gospel Musician, Song writer, Poet and play writer. Feel free to Hit the SUBSCRIBE button & watch us grow together ...",1670,23,25532,Ke
