video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,definition,caption,channelName,subscribers,views,totalVideos,playlistId
BXb-LJ0xsUM,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda | Tiktok Compilation","Check Out Official Music Video: https://youtu.be/iI2AVXI3bws
""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-08-10T11:05:37Z,684,28,,0,PT1M,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
HWauyf5uBVc,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda | Out Now","Check Out Official Music Video: https://youtu.be/iI2AVXI3bws
""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-13T07:00:07Z,63,4,,0,PT32S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
oOrVEFmhJM4,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda | Out Now","Check Out Official Music Video: https://youtu.be/iI2AVXI3bws
""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-12T07:00:25Z,223,15,,3,PT25S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
ml8opDNZg8Y,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda | Out Now","Check Out Official Music Video: https://youtu.be/iI2AVXI3bws
""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-11T07:00:34Z,521,12,,0,PT26S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
NcGNoLbD0Ds,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda | Out Now","Check Out Official Music Video: https://youtu.be/iI2AVXI3bws
""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-10T13:17:11Z,171,19,,0,PT25S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
iI2AVXI3bws,HARRY CRAZE,"Harry Craze ft  Sean MMG ,YBW Smith & Joefes - Guda Guda","""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes  | Official Music Video
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-10T07:00:26Z,63655,2631,,195,PT3M33S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
ei-F4lKgQSU,HARRY CRAZE,"Harry Craze, Sean MMG ,YBW Smith & Joefes - Guda Guda | Challenge","""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes 
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-10T07:00:23Z,620,19,,0,PT24S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
CF0VU9e77Ec,HARRY CRAZE,"Harry Craze, Sean MMG ,YBW Smith & Joefes - Guda Guda | Challenge","""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes 
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-09T07:00:06Z,151,12,,0,PT35S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
BHWmuPBJ0Rk,HARRY CRAZE,"Harry Craze, Sean MMG ,YBW Smith & Joefes - Guda Guda | Challenge","""Guda Guda"" by  Harry Craze, Sean MMG ,YBW Smith & Joefes 
Kindly Subscribe: @Joefes 
Stream:https://BlackMarket.lnk.to/gudaguda
#gudaguda #harrycraze #seanmmg #ybwsmith #joefes


For Bookings:
Email: gangrico91@gmail.com
 0746029455
Catch Up With Rico Gang On:
Instagram: https://www.instagram.com/ricogangofficial
Facebook: https://www.facebook.com/ricogangkenya
Twitter: https://twitter.com/Ricogangoficial
Follow The Crew
Harry Craze
Instagram: https://www.instagram.com/harrycraze254/
Triad Rands
Instagram: https://www.instagram.com/triandrands/
Graycee
Instagram: https://www.instagram.com/_gray_cee/

Management and Bookings: 
Mike Sagana
https://www.instagram.com/thee_sagana/

© ℗ Rico Gang . All Rights Reserved","['Gengetone', 'Genge', 'RicoGang', 'EthicEntertainment', 'DiamondPlatnumz', 'Rayvanny', 'Wasafi', 'Harry', 'Graycee', 'Triand', 'Ngomma', 'DapstremEnt', 'YuhVee', 'KenyanMusic', 'Khaligraph', 'GhettoAnthems', 'StreetAnthems', 'Reggaeton', 'Puetorican', 'Gasolina', 'OchunguloFamily', 'BoondocksGang', 'Ochungulo Family', 'Rico Gang', 'Music Channels', 'Reggae Music', 'Dancehall', 'HipHop', 'Kenyan Music', 'Kenyan Music Channels']",2024-07-08T12:37:16Z,95,6,,1,PT35S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
9E3ZqVXMSlc,HARRY CRAZE,Mambo Ya Town ni ngumu kuelewa @ODIWAMURANGA,"Mambo ya town ni ngumu sana kuelewa! As you occupy Nairobi CBD, listen to @HARRYCRAZE254  and @ODIWAMURANGA  analyze the whats and what nots of Nairobi town....or any town there. Cheers!!!",,2024-07-02T10:07:12Z,585,16,,1,PT52S,hd,false,HARRY CRAZE,71200,15495534,193,UUGKRuOHpEl12cYYlJUO8nvw
