video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,commentCount,duration,definition,caption,channelName,subscribers,views,totalVideos,playlistId,publishDayName,durationSecs
bMECgLgBvEg,Prince Indah,Prince Indah - Nyar Jaduong (Official Video),"Enjoy Prince Indah's first release of 2024 'Nyar Jaduong'.
Stream/Download - https://ziiki.media/NyarJaduong-PrinceIndah
Stream Puonj Mag Dak album - https://smartklix.com/PuonjMagDak
Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved

#PrinceIndah #NyarJaduong #Ohangla","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2024-03-03 12:00:09+00:00,6888344,63418.0,7863.0,PT8M38S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Sunday,518.0
c7gdO8V4VDE,Prince Indah,Prince Indah - Nyar Jaduong (Official Trailer),"Now Out! Stream Here - https://ziiki.media/NyarJaduong-PrinceIndah
Stream Puonj Mag Dak album - https://smartklix.com/PuonjMagDak
Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved

#PrinceIndah #NyarJaduong #Ohangla","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.', 'Nyar Jaduong Prince Indah', 'Nyar Jaduong']",2024-02-28 09:01:23+00:00,287549,3431.0,202.0,PT26S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,26.0
_NqNg4iSE2M,Prince Indah,Prince Indah - Puonj Mag Dak Jukebox,"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved
#PrinceIndah #Osiepe #PuonjMagDak","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.', 'osiepe by prince indah', 'kenyan food']",2024-02-19 17:20:07+00:00,446125,2380.0,200.0,PT1H28M56S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Monday,5336.0
rOeMGVqtu6I,Prince Indah,"MALAIKA MUSICALS FESTIVAL AT JOMO KENYATTA STADIUM, MAMBOLEO KISUMU.",No Description Available,"['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-09-22 12:09:31+00:00,445559,3237.0,372.0,PT3H15M12S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Friday,11712.0
sBdpjpgRWLw,Prince Indah,Prince Indah - Mummy Chulo (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 17:21:49+00:00,1300069,5904.0,569.0,PT10M9S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,609.0
t3mEn_mhEaw,Prince Indah,Prince Indah - Ogada Memba (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 17:18:34+00:00,158038,877.0,57.0,PT7M25S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,445.0
h3UBR-JYCRI,Prince Indah,Prince Indah - Mama Camara (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 17:15:30+00:00,206528,1166.0,81.0,PT7M35S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,455.0
hoTnhakX1Fc,Prince Indah,Prince Indah - Kogik Otieno (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 16:47:34+00:00,257013,1163.0,83.0,PT7M30S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,450.0
2zvRCbg6n4A,Prince Indah,Prince Indah - Jogi (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 16:45:07+00:00,153837,855.0,60.0,PT8M9S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,489.0
GZ1qWZre8tA,Prince Indah,Prince Indah - Hera Onge Wuon Go (Official Lyric Video),"Just as the name suggests, PUONJ MAG DAK meaning 'living lessons' was adopted from 90% of the lyrics of about ¾ of the songs released on this album. 
The bracket name 'FORMULA 5' comes out loudly with an incorporated collaboration song of 5 celebrated artists who came up with a composition of a NYAR MSEE track 10.
Other than OSIEPE, JOGI and OGADA MEMBA songs; the remaining 8 songs are associated with love birds(couples/lovers) and the same nature of relationships. 
The words used to convey the messages are lyrically lethal, soothing and ear friendly, enjoy listening! This stands to be @princeindah's 5th Album. 

Listen to Prince Indah on Digital Platforms:
Spotify - https://open.spotify.com/artist/72UZHvETWq3aV97cVxC5VS?si=rZWrJ-ukRxCu7SPjoX6U8w
Apple Music - https://beta.music.apple.com/us/artist/prince-indah/1526224571
Boomplay - https://www.boomplay.com/artists/2873527?from=search
Audiomack - https://audiomack.com/Indah
Deezer - https://www.deezer.com/en/artist/104538912
Tidal - https://tidal.com/browse/artist/20953836

Channel Administered by Ziiki Media. All Rights Reserved","['Kenya', 'Prince Indah', 'Emma Jalamo', 'Ohangla', 'Luo Rhumba', 'Luo Music', 'Kisumu', 'Prince Indah latest songs', 'Freddy Mopao Prince Indah', 'Weche Hera Prince Indah', 'Weche Singo', 'Maria Prince Indah', 'Zena Prince Indah', 'Opija Father', 'Zainabu', 'Sigand Luo Prince Indah', 'Washington Jakadel', 'Raila Odinga', 'Kenyan politics', 'NASA', 'ODM', 'Nyakisumo Part 2', 'Adeka Engineer Prince Indah', 'Angeli', 'Uchumi Prince Indah', 'Ken Soldier', 'Cynderella Prince Indah.']",2023-05-10 16:43:02+00:00,313036,1850.0,125.0,PT6M51S,hd,False,Prince Indah,478000.0,114585294.0,65.0,UUwN-NLEsOx7cCiBeGap9LSA,Wednesday,411.0
