order_id,id,product_id,city,order_date,delivery_time_minutes,is_cancelled
1,23,12,Eldoret,2025-08-17 12:00:00,59,0
2,127,1,Eldoret,2025-08-17 12:00:00,132,0
3,166,2,Kisumu,2025-08-19 03:00:00,219,1
4,110,21,Kisumu,2025-08-21 09:00:00,224,1
5,120,19,Eldoret,2025-08-19 18:00:00,205,0
6,57,3,Mombasa,2025-08-20 03:00:00,97,0
7,44,10,Eldoret,2025-08-19 09:00:00,147,0
8,97,18,Mombasa,2025-08-20 18:00:00,107,0
9,91,12,Eldoret,2025-08-21 06:00:00,73,0
10,173,22,Eldoret,2025-08-21 06:00:00,152,1
11,100,4,Nairobi,2025-08-17 12:00:00,234,0
12,4,10,Nakuru,2025-08-18 15:00:00,77,1
13,123,11,Mombasa,2025-08-21 12:00:00,66,1
14,188,15,Mombasa,2025-08-18 03:00:00,198,1
15,184,24,Eldoret,2025-08-21 03:00:00,149,1
16,148,14,Mombasa,2025-08-19 06:00:00,127,0
17,148,18,Nakuru,2025-08-21 09:00:00,67,1
18,20,10,Eldoret,2025-08-21 00:00:00,239,1
19,137,19,Nairobi,2025-08-18 12:00:00,72,0
20,149,1,Mombasa,2025-08-20 21:00:00,124,0
21,26,15,Nakuru,2025-08-17 18:00:00,208,0
22,166,6,Eldoret,2025-08-18 12:00:00,158,0
23,146,9,Nairobi,2025-08-17 06:00:00,216,1
24,128,21,Kisumu,2025-08-20 09:00:00,183,1
25,167,15,Nakuru,2025-08-20 18:00:00,33,1
26,76,3,Kisumu,2025-08-20 09:00:00,31,0
27,145,6,Mombasa,2025-08-18 06:00:00,86,1
28,82,24,Mombasa,2025-08-21 03:00:00,195,0
29,159,4,Eldoret,2025-08-21 18:00:00,91,1
30,57,12,Nakuru,2025-08-19 21:00:00,162,1
31,107,2,Eldoret,2025-08-17 15:00:00,183,0
32,2,17,Nakuru,2025-08-18 03:00:00,51,1
33,166,23,Nakuru,2025-08-18 06:00:00,229,0
34,88,2,Kisumu,2025-08-19 12:00:00,207,0
35,159,10,Nakuru,2025-08-18 09:00:00,107,0
36,162,22,Eldoret,2025-08-20 12:00:00,200,0
37,145,2,Eldoret,2025-08-21 21:00:00,150,1
38,167,12,Eldoret,2025-08-21 15:00:00,151,1
39,8,17,Mombasa,2025-08-19 12:00:00,87,0
40,190,20,Eldoret,2025-08-21 00:00:00,201,0
41,173,19,Nakuru,2025-08-19 00:00:00,115,1
42,35,8,Nakuru,2025-08-18 06:00:00,108,0
43,95,15,Eldoret,2025-08-21 09:00:00,208,0
44,103,17,Eldoret,2025-08-17 15:00:00,42,1
45,92,5,Nairobi,2025-08-21 18:00:00,188,1
46,149,1,Mombasa,2025-08-21 09:00:00,78,0
47,147,19,Mombasa,2025-08-21 03:00:00,238,0
48,179,3,Nairobi,2025-08-17 15:00:00,62,1
49,107,17,Nairobi,2025-08-20 12:00:00,230,1
50,26,23,Kisumu,2025-08-20 06:00:00,210,1
51,79,14,Nairobi,2025-08-17 06:00:00,56,1
52,97,8,Kisumu,2025-08-21 00:00:00,217,0
53,36,23,Eldoret,2025-08-19 03:00:00,45,1
54,110,11,Kisumu,2025-08-19 21:00:00,115,1
55,34,7,Eldoret,2025-08-18 06:00:00,99,1
56,162,23,Nairobi,2025-08-17 09:00:00,177,1
57,138,8,Nairobi,2025-08-19 21:00:00,66,0
58,106,8,Nakuru,2025-08-19 09:00:00,103,1
59,62,19,Nairobi,2025-08-21 03:00:00,196,1
60,86,6,Nakuru,2025-08-19 09:00:00,37,0
61,72,11,Nairobi,2025-08-18 03:00:00,187,1
62,88,6,Eldoret,2025-08-18 12:00:00,88,0
63,124,17,Mombasa,2025-08-21 18:00:00,126,1
64,39,15,Nairobi,2025-08-17 21:00:00,71,1
65,53,22,Nakuru,2025-08-19 03:00:00,133,0
66,145,21,Mombasa,2025-08-21 06:00:00,90,1
67,101,4,Nairobi,2025-08-17 12:00:00,162,1
68,152,19,Eldoret,2025-08-19 06:00:00,122,0
69,95,10,Nakuru,2025-08-19 15:00:00,102,1
70,74,16,Kisumu,2025-08-18 06:00:00,236,0
71,47,5,Eldoret,2025-08-20 18:00:00,51,1
72,195,15,Kisumu,2025-08-21 18:00:00,120,1
73,135,21,Nairobi,2025-08-19 21:00:00,123,0
74,76,16,Mombasa,2025-08-20 09:00:00,97,0
75,169,8,Eldoret,2025-08-18 09:00:00,220,0
76,68,6,Mombasa,2025-08-18 09:00:00,238,1
77,84,10,Kisumu,2025-08-18 09:00:00,164,0
78,7,16,Kisumu,2025-08-20 15:00:00,133,1
79,117,14,Nairobi,2025-08-17 06:00:00,169,1
80,122,17,Nairobi,2025-08-20 03:00:00,96,1
81,156,17,Kisumu,2025-08-19 18:00:00,201,1
82,165,8,Nairobi,2025-08-21 21:00:00,113,1
83,121,13,Eldoret,2025-08-18 18:00:00,239,1
84,6,11,Nairobi,2025-08-19 06:00:00,205,1
85,96,6,Nakuru,2025-08-21 06:00:00,175,0
86,59,9,Nairobi,2025-08-19 15:00:00,145,0
87,113,4,Nairobi,2025-08-17 18:00:00,62,0
88,155,5,Kisumu,2025-08-20 00:00:00,197,1
89,94,22,Kisumu,2025-08-18 03:00:00,109,0
90,11,4,Kisumu,2025-08-20 18:00:00,72,0
91,79,11,Kisumu,2025-08-17 21:00:00,53,0
92,153,21,Nakuru,2025-08-20 09:00:00,225,0
93,25,8,Nakuru,2025-08-18 06:00:00,193,0
94,22,17,Eldoret,2025-08-18 00:00:00,197,1
95,103,8,Nakuru,2025-08-20 06:00:00,57,0
96,191,5,Mombasa,2025-08-17 21:00:00,31,1
97,53,7,Nairobi,2025-08-19 03:00:00,109,0
98,31,2,Mombasa,2025-08-20 00:00:00,48,1
99,133,17,Mombasa,2025-08-19 03:00:00,72,1
100,88,7,Nakuru,2025-08-21 06:00:00,223,0
101,139,18,Nakuru,2025-08-19 06:00:00,202,0
102,200,10,Eldoret,2025-08-19 00:00:00,133,0
