Name,Price
Red Onions - (appx. 10 pieces) per Kg,KSh119
White Onions - (appx. 10 pieces) per Kg,KSh179
Round Tomatoes - (appx. 6 pieces) per Kg,KSh199
Tomato - Italian (appx. 8 pieces) per Kg,KSh79
White Potatoes - (appx. 5 pieces) per Kg,KSh99
Red Alika Potatoes - (appx. 5 pieces) per Kg,KSh199
Sweet Potato - Local  (appx. 2 pieces) per Kg,KSh179
Carrots (appx. 10 pieces) per Kg,KSh99
BabyMarrow/ Courgettes/ Zucchini  ( appx. 6 pieces) per Kg,KSh149
Sukuma Wiki (Collard Greens) per Bunch.,KSh29
Spinach Local (Swiss Chard) per Bunch.,KSh29
Broccoli (appx. 3 heads) per Kg.,KSh299
Cauliflower (appx. 1 piece) per Kg,KSh299
Dhania (Cilantro) per Bunch,KSh29
Basil per Bunch,KSh69
Parsley per Bunch,KSh29
Leeks - (appx. 3 pieces) per Kg,KSh199
Celery ( appx. 1 pc) per kg,KSh299
Cucumber - English (appx. 2 pieces) per Kg,KSh199
Cucumbers - Local (appx. 4 pieces) per Kg,KSh159
White Cabbage - (appx. 1.5 head) per Kg,KSh39
Chinese Cabbage - 1 Piece appx. 1.5kgs,KSh169
Red Cabbage - (appx. 1 head) per Kg,KSh159
Eggplant (appx. 2 pieces) per Kg,KSh149
