id,name,description,ean,upc,image,net_price,taxes,price
1,Qui ea ad dignissimos neque.,Ducimus ducimus nulla debitis impedit magni. Et eligendi libero dignissimos quos. Qui doloremque illo exercitationem aspernatur.,3821601224810,863977162080,http://placeimg.com/640/480/tech,324140131.01,12,363036946.73
2,Est ut cumque eos est.,Quod maxime consectetur iure nam iusto corporis. Necessitatibus labore est vel perferendis ut. Ad quia nobis sunt recusandae assumenda pariatur. Pariatur possimus vel voluptas sunt a qui.,9344136630542,238676369082,http://placeimg.com/640/480/tech,1692.22,12,1895.29
3,Ut nulla quisquam est et.,Recusandae minus dolorem qui ex non voluptatum. Vero ipsa qui quo perspiciatis. Et minus qui recusandae sit vel recusandae.,1296458159387,433090277698,http://placeimg.com/640/480/tech,30046384.39,12,33651950.52
4,Nisi aut illum nam.,Laborum itaque odio animi tempora qui. Non dolor temporibus est voluptatibus ea quia. Velit ad quia maiores nobis aut.,9929929272071,827751738482,http://placeimg.com/640/480/tech,43013030.51,12,48174594.17
5,Quos excepturi sit vel.,Aut dolore nihil ea voluptas accusamus repellendus. Fuga at sed reiciendis enim reiciendis. Fuga error eum quo sunt sit laudantium.,2366478585165,353637039667,http://placeimg.com/640/480/tech,308108269.41,12,345081261.74
6,Aut vitae fuga iure nobis.,Et quo delectus reprehenderit nesciunt at et. Sint quis quas hic earum alias. Nisi cupiditate perferendis autem hic.,5117103906513,425008774922,http://placeimg.com/640/480/tech,115.38,12,129.23
7,Ipsam ad beatae dignissimos.,Rerum odio enim fugit. Aliquid cupiditate ipsam accusantium eius nihil. Eos cupiditate et exercitationem soluta. Est id nemo soluta error voluptatum praesentium.,7819887175489,750364705714,http://placeimg.com/640/480/tech,3.72,12,4.17
8,Quidem magnam in magni.,Voluptatem quas et molestias nulla iusto non adipisci. Nostrum reiciendis vel in voluptates vel. Dolorem temporibus ipsa maxime voluptates voluptate et quisquam.,7965222731626,193454171119,http://placeimg.com/640/480/tech,438569.41,12,491197.74
9,Tempora sint id quo aut.,Quasi deleniti dolores non debitis natus eligendi. Similique aut corporis cumque. Natus magni dolores iste doloremque iusto dolore est ullam.,7818009618545,235289229266,http://placeimg.com/640/480/tech,0.7,12,0.78
10,Et aperiam veniam sit.,Est dolorem ipsum qui unde. Sint rerum quasi pariatur corrupti vel perferendis qui. Provident dolor asperiores sequi excepturi.,5691559027584,116220358984,http://placeimg.com/640/480/tech,688950477,12,771624534.24
11,Tempora animi officiis quia.,Dolore quia voluptates molestiae quibusdam. Aperiam aliquam omnis omnis quod quibusdam quam soluta suscipit. Quam aliquam ipsa expedita ratione. Voluptate iste dolorem similique placeat.,7048557868974,198608837426,http://placeimg.com/640/480/tech,698852.34,12,782714.62
12,Est voluptas pariatur porro.,Officiis eius vero omnis consequuntur est quo. Praesentium perspiciatis omnis enim facere assumenda possimus quaerat. Eligendi nihil fuga molestiae qui velit ea ipsam.,6417180295814,229919959276,http://placeimg.com/640/480/tech,932506.27,12,1044407.02
13,Nobis debitis ipsum quas qui.,Enim inventore fuga voluptates porro dolor adipisci. Voluptatem aperiam velit quo sed iusto vitae nemo. Temporibus rerum fugit beatae consequatur.,2705149958974,544524426876,http://placeimg.com/640/480/tech,46.27,12,51.82
14,Necessitatibus et rem modi.,Omnis voluptatem voluptas et quos aut consequatur. Quam voluptatem sunt omnis quia id et.,5328592411666,336934182458,http://placeimg.com/640/480/tech,29560.34,12,33107.58
15,Numquam ut quia pariatur.,Quasi aspernatur exercitationem voluptas facilis et et. Aut nemo commodi ut. Aperiam magnam consequatur sint aliquam et. Eveniet nisi modi excepturi et sit et et vero.,5790516969117,902825340181,http://placeimg.com/640/480/tech,4751.63,12,5321.83
16,Rem nemo ut omnis vel harum.,Qui sed dolorum enim saepe. Non omnis id doloremque ut ut. Vel sit ea rerum officiis quo dolor. Consequuntur nihil autem velit similique ipsa.,9804100699185,733304798958,http://placeimg.com/640/480/tech,17.13,12,19.19
17,Dolor aut et veniam.,Voluptate ut et amet doloribus iusto nulla quia accusantium. Molestiae accusantium corrupti perspiciatis qui facere aut voluptate.,0048991997787,451000173700,http://placeimg.com/640/480/tech,2303.44,12,2579.85
18,Repellat libero qui rerum.,Reiciendis harum laborum repellendus. Modi veniam est enim cumque vero. Qui corporis explicabo qui dolorem dolor sunt porro.,8012092677222,330788357239,http://placeimg.com/640/480/tech,170110.15,12,190523.37
19,Est ducimus et vel.,Exercitationem sint eum accusantium esse. Doloribus fugit eveniet cupiditate ut qui aut. Qui est eligendi velit quaerat veniam aliquam. Esse dolore ipsa sunt temporibus.,2417791885095,135722974446,http://placeimg.com/640/480/tech,2631912.06,12,2947741.51
20,Et aut ut voluptates maxime.,Magnam mollitia recusandae sapiente ea inventore. Quibusdam quidem praesentium ipsam totam voluptatem aliquam ut. Aliquam est vel non. Tempore atque et quas sequi.,3094004516794,915157341008,http://placeimg.com/640/480/tech,396.01,12,443.53
21,Est ut ad ipsam.,Non eius autem ducimus iusto reprehenderit quos et. Animi numquam quas nobis tempore pariatur. Veniam corrupti voluptatem iste ullam incidunt asperiores odio.,0133147476466,002087191228,http://placeimg.com/640/480/tech,26.9,12,30.13
22,Et suscipit animi aut sequi.,Quo dolor quo accusamus saepe labore cum. Quae qui dolore et et officia dolor. Qui autem voluptatibus et quia aspernatur ratione. Magnam aut aperiam placeat quis nihil dolorem eveniet.,2976812314384,965655643590,http://placeimg.com/640/480/tech,1069494.19,12,1197833.49
23,Sint aut quas rerum.,Quae quis culpa ipsam libero minus libero animi. Voluptatibus quidem sequi occaecati et magnam. Consequatur exercitationem voluptatem distinctio qui veniam sit cum.,3298384780787,155634189895,http://placeimg.com/640/480/tech,60259473.02,12,67490609.78
24,Dicta ducimus illum id.,Mollitia possimus quae enim aut eaque voluptatem occaecati. Similique dignissimos temporibus voluptas et id consequatur et. Et deserunt id facilis porro eveniet culpa accusamus. Quis aut unde sint.,5895396180093,010892653166,http://placeimg.com/640/480/tech,468598.09,12,524829.86
25,Qui sed ea ut fugiat.,Id possimus molestiae est qui ipsa. Eveniet amet eaque tenetur sapiente quae delectus. Est tenetur laborum sapiente ratione. Aut quibusdam est deleniti et debitis in iusto blanditiis.,1532557514093,190681101578,http://placeimg.com/640/480/tech,3.32,12,3.72
26,Repudiandae quae quis aut.,Mollitia assumenda reprehenderit praesentium sit fugiat. Commodi vero id non. Numquam unde neque molestiae neque et et iusto. Voluptatum quasi sunt omnis provident corrupti magni.,6676278289368,205533980610,http://placeimg.com/640/480/tech,376.97,12,422.21
27,Dicta omnis saepe distinctio.,Possimus aliquam tempore autem nam. Voluptate eum enim et quae recusandae officiis. Unde et accusamus laboriosam et odit a.,5877588473213,515263146888,http://placeimg.com/640/480/tech,22.69,12,25.41
28,Rerum ab dolorum sint.,Neque nemo qui sapiente dolorem. Qui vel et tenetur aperiam ex laborum reiciendis. Iusto quod eaque qui quis harum quaerat enim sit. Reprehenderit eius totam dolores ex totam minus.,2523804654395,560865011031,http://placeimg.com/640/480/tech,16.59,12,18.58
29,Alias ut quia et.,Maiores velit minima sit ut. Nesciunt iste accusantium minima architecto molestias. Quae ut quis soluta sed aut corporis omnis.,7094077281106,466768971639,http://placeimg.com/640/480/tech,494872.35,12,554257.03
