City,Time,Temp (K),FeelsLike (K),Weather,Clouds(%),Wind(m/s),Rain(mm),POP
Eldoret,2025-08-17 00:00:00,285.21,284.8,scattered clouds,25,1.17,0,0.51
Eldoret,2025-08-17 03:00:00,285.41,284.99,scattered clouds,37,0.43,0,0.24
Eldoret,2025-08-17 06:00:00,287.04,286.73,light rain,62,0.86,0.36,0.53
Eldoret,2025-08-17 09:00:00,290.13,289.92,light rain,88,1.49,2.47,0.89
Eldoret,2025-08-17 12:00:00,291.69,291.58,moderate rain,69,2.34,3.37,1
Eldoret,2025-08-17 15:00:00,289.46,289.42,moderate rain,68,1.03,5.82,0.99
Eldoret,2025-08-17 18:00:00,286.92,286.75,moderate rain,78,0.41,3.52,1
Eldoret,2025-08-17 21:00:00,287.16,286.99,light rain,100,0.92,0.69,0.84
Eldoret,2025-08-18 00:00:00,286.03,285.85,light rain,100,1.72,0.46,0.83
Eldoret,2025-08-18 03:00:00,285.29,285.04,light rain,100,1.2,0.11,0.4
Eldoret,2025-08-18 06:00:00,289.28,289.06,light rain,100,1.8,0.61,0.54
Eldoret,2025-08-18 09:00:00,291.37,291.21,light rain,100,2.41,3,0.89
Eldoret,2025-08-18 12:00:00,291.07,291.01,moderate rain,100,2.56,4.91,1
Eldoret,2025-08-18 15:00:00,288.09,288.09,moderate rain,100,2.96,5.49,1
Eldoret,2025-08-18 18:00:00,286.69,286.61,moderate rain,98,2.39,4.2,1
Eldoret,2025-08-18 21:00:00,285.83,285.66,light rain,100,2.19,1.98,1
Eldoret,2025-08-19 00:00:00,285.51,285.39,light rain,100,1.94,2.35,0.97
Eldoret,2025-08-19 03:00:00,285.42,285.26,light rain,100,0.91,0.68,0.74
Eldoret,2025-08-19 06:00:00,286.43,286.19,light rain,100,1.51,0.73,0.7
Eldoret,2025-08-19 09:00:00,290.29,290.04,light rain,100,2.13,0.7,0.63
Eldoret,2025-08-19 12:00:00,289.21,289.06,light rain,100,3.24,2.2,0.87
Eldoret,2025-08-19 15:00:00,287.51,287.43,light rain,100,2.22,2.37,1
Eldoret,2025-08-19 18:00:00,286.38,286.24,light rain,100,1.76,2.86,1
Eldoret,2025-08-19 21:00:00,285.84,285.51,light rain,100,0.64,0.64,0.54
Eldoret,2025-08-20 00:00:00,285.23,284.87,overcast clouds,100,0.82,0,0.42
Eldoret,2025-08-20 03:00:00,285.62,285.32,overcast clouds,100,2.17,0,0
Eldoret,2025-08-20 06:00:00,288.4,288.2,overcast clouds,100,2.85,0,0
Eldoret,2025-08-20 09:00:00,291,290.69,light rain,94,2.97,1.12,0.72
Eldoret,2025-08-20 12:00:00,289.4,289.2,light rain,97,2.3,1.39,0.84
Eldoret,2025-08-20 15:00:00,287.7,287.53,light rain,100,2.13,0.36,0.93
Eldoret,2025-08-20 18:00:00,286.59,286.34,light rain,100,0.13,0.12,0.77
Eldoret,2025-08-20 21:00:00,286.25,285.94,overcast clouds,100,1.2,0,0.31
Eldoret,2025-08-21 00:00:00,284.98,284.7,overcast clouds,99,2.43,0,0.27
Eldoret,2025-08-21 03:00:00,284.7,284.39,overcast clouds,100,2.9,0,0
Eldoret,2025-08-21 06:00:00,288.78,288.51,broken clouds,82,3.37,0,0
Eldoret,2025-08-21 09:00:00,292.83,292.32,overcast clouds,98,1.07,0,0.17
Eldoret,2025-08-21 12:00:00,291.45,291.22,light rain,92,3.45,1.49,0.49
Eldoret,2025-08-21 15:00:00,289.38,289.2,light rain,80,2.76,1.29,0.81
Eldoret,2025-08-21 18:00:00,286.85,286.55,light rain,80,1.54,0.32,0.81
Eldoret,2025-08-21 21:00:00,286.89,286.51,light rain,89,1.18,0.12,0.34
Nairobi,2025-08-17 00:00:00,289.97,289.74,light rain,95,0.86,0.24,0.37
Nairobi,2025-08-17 03:00:00,289.46,289.26,broken clouds,80,0.86,0,0.06
Nairobi,2025-08-17 06:00:00,290.88,290.64,broken clouds,58,1.23,0,0.16
Nairobi,2025-08-17 09:00:00,295.62,295.33,light rain,81,1.87,1.32,0.79
Nairobi,2025-08-17 12:00:00,296.24,295.99,moderate rain,79,2.98,4.01,0.91
Nairobi,2025-08-17 15:00:00,292.55,292.35,light rain,95,2.71,2.06,0.74
Nairobi,2025-08-17 18:00:00,290.45,290.4,light rain,98,2.81,2.32,0.74
Nairobi,2025-08-17 21:00:00,290.19,290.06,light rain,92,1.54,0.34,0.55
Nairobi,2025-08-18 00:00:00,289.25,289.11,light rain,96,1.4,0.41,0.61
Nairobi,2025-08-18 03:00:00,288.96,288.87,light rain,99,1.1,0.33,0.86
Nairobi,2025-08-18 06:00:00,289.46,289.37,light rain,98,1.59,0.33,0.87
